,Id
2,1
3,2
4,3
5,3
6,4
7,4
8,4
9,5
10,6
11,7
12,10
13,11
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,20
23,8
24,22
25,23
26,17
27,25
28,26
29,27
30,28
31,9
32,30
33,31
34,175
35,33
36,34
37,35
38,36
39,37
40,38
41,49
42,39
43,40
44,41
45,42
46,43
47,175
49,45
50,46
51,47
52,48
53,50
54,51
55,52
56,53
57,54
58,55
59,56
60,57
61,58
62,59
63,60
64,61
65,62
66,63
67,25
68,26
69,27
70,67
71,68
73,230
74,229
75,228
76,229
77,230
78,231
79,232
80,233
81,234
82,235
83,236
84,17
85,25
86,26
87,27
88,28
89,29
90,30
91,31
92,32
93,33
94,34
95,35
96,36
97,37
98,38
99,39
100,40
101,41
102,42
103,43
104,44
105,45
106,46
107,47
108,48
109,49
110,50
111,51
112,52
113,53
114,54
115,55
116,56
117,57
118,199
119,200
120,201
121,202
122,203
123,204
124,64
125,65
126,66
127,67
128,68
129,69
130,70
131,71
132,72
133,73
134,74
135,75
136,76
137,77
138,78
139,124
140,125
141,126
142,127
143,128
144,129
145,130
146,227
147,131
148,132
149,133
150,134
152,136
153,137
154,138
155,17
156,140
157,141
158,142
159,143
160,25
161,145
162,146
163,147
164,148
165,125
166,150
167,160
168,161
169,162
170,163
171,164
172,165
173,166
174,167
175,168
176,169
177,170
178,171
179,172
180,173
181,174
182,175
183,176
184,177
185,178
186,179
187,180
188,181
189,182
190,183
191,184
192,185
193,186
194,187
195,188
196,189
197,190
198,191
199,192
200,193
201,194
202,195
203,196
204,197
205,197
206,198
207,199
208,200
209,201
210,202
211,203
212,204
213,205
214,206
215,207
216,208
217,209
218,210
219,211
220,212
221,213
222,214
223,215
224,216
225,217
226,218
227,219
228,220
229,221
230,222
231,223
232,224
233,225
234,226
235,227
236,228
237,229
238,230
239,230
240,231
241,232
242,233
243,234
244,235
245,236
246,237
247,238
248,239
249,240
250,241
251,242
252,243
253,244
254,245
255,246
256,247
257,248
258,249
259,250
260,251
261,252
262,253
263,254
264,255
265,256
266,257
267,258
268,259
269,260
270,261
271,262
272,262
273,263
274,264
275,265
276,266
277,267
278,268
279,269
280,270
281,271
282,272
283,273
284,274
285,275
286,276
287,277
288,278
289,279
290,280
291,281
292,282
293,283
294,284
295,285
296,286
297,287
298,287
299,287
300,288
301,289
302,290
303,291
304,292
305,293
306,294
307,295
308,296
309,297
310,298
311,299
312,300
313,301
314,302
315,303
316,304
317,305
318,306
319,307
320,308
321,309
322,310
323,311
324,312
325,313
326,314
327,315
329,232
330,233
331,234
332,235
333,236
334,237
335,238
336,239
337,240
338,241
339,242
340,243
341,244
342,245
343,246
344,247
345,248
346,249
347,250
348,251
349,252
350,252
351,253
352,254
353,255
354,256
355,257
356,258
357,259
358,257
359,258
360,259
361,260
362,261
363,262
364,263
365,264
367,265
368,266
369,267
370,268
371,269
372,270
373,271
374,272
375,273
376,274
377,275
378,276
379,277
380,278
381,279
382,280
383,281
384,282
385,283
386,284
387,285
388,286
389,287
390,288
391,289
392,290
393,291
394,292
395,293
396,294
397,295
398,296
399,297
400,298
401,299
402,300
403,301
404,302
405,303
406,304
407,305
408,306
409,307
410,308
411,309
412,310
413,311
414,309
415,310
416,311
417,312
418,313
419,314
420,315
421,316
422,317
423,318
424,319
425,320
426,321
427,322
428,323
429,324
430,325
431,326
432,327
433,328
434,329
435,330
436,331
437,332
438,323
439,324
440,325
441,326
442,327
443,328
444,329
445,330
446,331
447,331
448,332
449,333
450,334
451,335
452,336
453,337
454,338
455,339
456,340
457,341
458,342
459,343
460,344
461,345
462,346
463,347
464,348
465,349
466,350
467,351
468,352
469,353
470,354
471,355
472,356
473,357
474,358
475,359
476,360
477,361
478,362
479,363
480,364
481,365
482,366
483,367
484,368
485,369
486,370
487,371
488,372
489,373
490,374
491,375
492,376
493,377
494,378
495,379
496,380
497,381
498,382
499,383
500,384
501,385
502,386
503,387
504,388
505,389
506,390
507,391
508,392
509,393
510,394
511,395
512,396
513,397
514,398
515,399
516,400
517,401
518,402
519,403
520,404
521,405
522,406
523,407
524,408
525,409
526,410
527,411
528,412
529,413
530,414
531,415
532,416
533,417
534,418
535,419
536,420
537,421
538,422
539,423
540,424
541,425
542,426
543,427
544,428
545,429
546,430
547,431
548,432
549,433
550,434
551,435
552,436
553,437
554,438
555,439
556,440
557,441
558,442
559,443
560,444
561,445
562,446
563,447
564,448
565,449
566,450
567,451
568,452
569,453
570,454
571,455
572,456
573,457
574,458
575,459
576,460
577,461
578,462
579,463
580,464
581,465
582,466
583,467
584,468
585,469
586,470
587,471
588,472
589,473
590,474
591,475
592,476
593,477
594,478
595,479
596,480
597,481
598,482
599,483
600,484
601,485
602,486
603,487
604,488
605,489
606,490
607,491
608,492
609,493
610,494
611,495
612,496
613,497
614,498
615,499
616,500
617,501
